date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:36:59	10056/10056	---M--	200	added ('OK')	application/javascript	etag:%225c3c2d7f-2748%22	https://www.sitepro.com.ar/web/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	Q:/01_Grafica_2017/Grafica%20Marina/WEB%20SITEPRO/www.sitepro.com.ar/web/wp-includes/js/jquery/jquery-migrate.min330a.js	(from https://www.sitepro.com.ar/web/)
09:37:00	19061/19061	---M--	200	added ('OK')	application/javascript	etag:%225bdc981f-4a75%22	https://www.sitepro.com.ar/web/wp-content/plugins/modula-best-grid-gallery/scripts/jquery.modula.js?ver=5.0.3	Q:/01_Grafica_2017/Grafica%20Marina/WEB%20SITEPRO/www.sitepro.com.ar/web/wp-content/plugins/modula-best-grid-gallery/scripts/jquery.modulaaead.js	(from https://www.sitepro.com.ar/web/)
09:37:00	872/872	---MC-	200	added ('OK')	text/xml	date:Mon,%2021%20Jan%202019%2012:37:08%20GMT	https://www.sitepro.com.ar/web/xmlrpc.php?rsd	Q:/01_Grafica_2017/Grafica%20Marina/WEB%20SITEPRO/www.sitepro.com.ar/web/xmlrpc0db0.php	(from https://www.sitepro.com.ar/web/)
09:37:00	1045/1045	---M--	200	added ('OK')	text/xml	etag:%225c3c2d80-415%22	https://www.sitepro.com.ar/web/wp-includes/wlwmanifest.xml	Q:/01_Grafica_2017/Grafica%20Marina/WEB%20SITEPRO/www.sitepro.com.ar/web/wp-includes/wlwmanifest.xml	(from https://www.sitepro.com.ar/web/)
09:37:01	2240/2240	---MC-	200	added ('OK')	application/json	date:Mon,%2021%20Jan%202019%2012:37:09%20GMT	https://www.sitepro.com.ar/web/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.sitepro.com.ar%2Fweb%2F	Q:/01_Grafica_2017/Grafica%20Marina/WEB%20SITEPRO/www.sitepro.com.ar/web/wp-json/oembed/1.0/embede6a5.json	(from https://www.sitepro.com.ar/web/)
09:37:01	80569/80569	---MC-	200	added ('OK')	application/json	date:Mon,%2021%20Jan%202019%2012:37:10%20GMT	https://www.sitepro.com.ar/web/wp-json/	Q:/01_Grafica_2017/Grafica%20Marina/WEB%20SITEPRO/www.sitepro.com.ar/web/wp-json/index.html	(from https://www.sitepro.com.ar/web/)
09:37:03	2320/2320	---MC-	200	added ('OK')	text/xml	date:Mon,%2021%20Jan%202019%2012:37:11%20GMT	https://www.sitepro.com.ar/web/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.sitepro.com.ar%2Fweb%2F&format=xml	Q:/01_Grafica_2017/Grafica%20Marina/WEB%20SITEPRO/www.sitepro.com.ar/web/wp-json/oembed/1.0/embede2a7	(from https://www.sitepro.com.ar/web/)
09:37:03	326/326	---M--	200	added ('OK')	text/html	etag:%22146-56ba3627f6054%22	https://www.sitepro.com.ar/web/wp-content/plugins/master-slider/public/assets/css/common/grabbing.cur	Q:/01_Grafica_2017/Grafica%20Marina/WEB%20SITEPRO/www.sitepro.com.ar/web/wp-content/plugins/master-slider/public/assets/css/common/grabbing.html	(from https://www.sitepro.com.ar/web/)
09:37:03	326/326	---M--	200	added ('OK')	text/html	etag:%22146-56ba3627f6054%22	https://www.sitepro.com.ar/web/wp-content/plugins/master-slider/public/assets/css/common/grab.cur	Q:/01_Grafica_2017/Grafica%20Marina/WEB%20SITEPRO/www.sitepro.com.ar/web/wp-content/plugins/master-slider/public/assets/css/common/grab.html	(from https://www.sitepro.com.ar/web/)
09:37:03	690/690	---M--	200	added ('OK')	image/jpeg	etag:%222b2-577bbaff5bd2c%22	https://www.sitepro.com.ar/web/wp-content/uploads/2018/10/cropped-cropped-logo-sitepro1-1-32x32.jpg	Q:/01_Grafica_2017/Grafica%20Marina/WEB%20SITEPRO/www.sitepro.com.ar/web/wp-content/uploads/2018/10/cropped-cropped-logo-sitepro1-1-32x32.jpg	(from https://www.sitepro.com.ar/web/)
09:37:03	3951/3951	---M--	200	added ('OK')	image/jpeg	etag:%225bbba01e-f6f%22	https://www.sitepro.com.ar/web/wp-content/uploads/2018/10/cropped-cropped-logo-sitepro1-1-192x192.jpg	Q:/01_Grafica_2017/Grafica%20Marina/WEB%20SITEPRO/www.sitepro.com.ar/web/wp-content/uploads/2018/10/cropped-cropped-logo-sitepro1-1-192x192.jpg	(from https://www.sitepro.com.ar/web/)
